EGY	Egypt	General government gross debt	Percent of GDP		73.172	2012
SLV	El Salvador	Gross domestic product per capita, current prices	U.S. dollars	Units	3617.92	2007
SLV	El Salvador	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	7340.36	2007
SLV	El Salvador	Total investment	Percent of GDP		13.292	2011
SLV	El Salvador	Gross national savings	Percent of GDP		10.191	2011
SLV	El Salvador	General government gross debt	Percent of GDP		50.141	2011
GNQ	Equatorial Guinea	Gross domestic product per capita, current prices	U.S. dollars	Units	10961.21	2010
GNQ	Equatorial Guinea	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	18056.8	2010
GNQ	Equatorial Guinea	Total investment	Percent of GDP		54.55	2010
GNQ	Equatorial Guinea	Gross national savings	Percent of GDP		34.098	2010
GNQ	Equatorial Guinea	General government gross debt	Percent of GDP		5.029	2010
ERI	Eritrea	Gross domestic product per capita, current prices	U.S. dollars	Units	397.719	2006
ERI	Eritrea	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	683.082	2006
ERI	Eritrea	Total investment	Percent of GDP		9.299	2006
ERI	Eritrea	Gross national savings	Percent of GDP		3.69	2006
ERI	Eritrea	General government gross debt	Percent of GDP		144.761	2008
EST	Estonia	Gross domestic product per capita, current prices	U.S. dollars	Units	14137.65	2011
EST	Estonia	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	18539.46	2011
EST	Estonia	Total investment	Percent of GDP		19.528	2011
EST	Estonia	Gross national savings	Percent of GDP		22.459	2011
EST	Estonia	General government gross debt	Percent of GDP		6.688	2011
ETH	Ethiopia	Gross domestic product per capita, current prices	U.S. dollars	Units	350.051	2008
ETH	Ethiopia	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	1018.75	2008
ETH	Ethiopia	Total investment	Percent of GDP		24.677	2011
ETH	Ethiopia	Gross national savings	Percent of GDP		20.525	2011
ETH	Ethiopia	General government gross debt	Percent of GDP		27.649	2011
FJI	Fiji	Gross domestic product per capita, current prices	U.S. dollars	Units	3565.45	2007
FJI	Fiji	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	4476.21	2007
FJI	Fiji	Total investment	Percent of GDP		16.625	2009
FJI	Fiji	Gross national savings	Percent of GDP			
FJI	Fiji	General government gross debt	Percent of GDP		55.577	2011
FIN	Finland	Gross domestic product per capita, current prices	U.S. dollars	Units	44136.03	2011
FIN	Finland	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	34455.81	2011
FIN	Finland	Total investment	Percent of GDP		18.507	2011
FIN	Finland	Gross national savings	Percent of GDP		19.905	2011
FIN	Finland	General government gross debt	Percent of GDP		48.644	2011
FRA	France	Gross domestic product per capita, current prices	U.S. dollars	Units	40938.85	2011
FRA	France	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	33945.59	2011
FRA	France	Total investment	Percent of GDP		19.264	2011
FRA	France	Gross national savings	Percent of GDP		17.706	2011
FRA	France	General government gross debt	Percent of GDP		82.3	2011
GAB	Gabon	Gross domestic product per capita, current prices	U.S. dollars	Units	8820.17	0
GAB	Gabon	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	15197.5	0
GAB	Gabon	Total investment	Percent of GDP		27.309	2008
GAB	Gabon	Gross national savings	Percent of GDP		36.37	2008
GAB	Gabon	General government gross debt	Percent of GDP		25.017	
GMB	The Gambia	Gross domestic product per capita, current prices	U.S. dollars	Units	550.187	2010
GMB	The Gambia	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	1892.72	2010
GMB	The Gambia	Total investment	Percent of GDP		21.424	2010
